"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"209",1965,"3B ",330,"F",18,"length",140,0,1,0
"210",1965,"3B ",330,"M",7,"length",104,8.48528137423857,2,6
"211",1965,"3B ",330,"M",8,"length",66,0,1,0
"212",1965,"3B ",330,"M",10,"length",114,0,1,0
"213",1965,"3B ",330,"M",12,"length",114,0,1,0
"214",1965,"3B ",340,"F",7,"length",81,0,1,0
"215",1965,"3B ",340,"F",8,"length",89,0,1,0
"216",1965,"3B ",340,"F",10,"length",115.5,13.4350288425444,2,9.5
"217",1965,"3B ",340,"F",11,"length",129,0,1,0
"218",1965,"3B ",340,"F",12,"length",141,14.7648230602334,4,7.3824115301167
"219",1965,"3B ",340,"F",13,"length",143,7,3,4.04145188432738
"220",1965,"3B ",340,"F",14,"length",155.333333333333,7.50555349946513,3,4.33333333333333
"221",1965,"3B ",340,"F",15,"length",143,0,1,0
"222",1965,"3B ",340,"M",7,"length",83,0,1,0
"223",1965,"4A ",350,"F",7,"length",69,7.81024967590665,3,4.50924975282289
"224",1965,"4A ",350,"F",8,"length",80,0,1,0
"225",1965,"4A ",350,"F",9,"length",92,0,1,0
"226",1965,"4A ",350,"F",10,"length",84,0,1,0
"227",1965,"4A ",350,"F",12,"length",135,0,1,0
"228",1965,"4A ",350,"F",13,"length",142,0,1,0
"229",1965,"4A ",350,"M",9,"length",81,0,1,0
"230",1965,"4A ",360,"F",7,"length",71.3333333333333,10.2632028788938,3,5.92546294487706
"231",1965,"4A ",360,"F",8,"length",78.5,2.12132034355964,2,1.5
"232",1965,"4A ",360,"F",10,"length",117,0,1,0
"233",1965,"4A ",360,"F",11,"length",113.5,13.4350288425444,2,9.5
"234",1965,"4A ",360,"F",14,"length",169,0,1,0
"235",1965,"4A ",360,"M",7,"length",61.5,2.12132034355964,2,1.5
"236",1965,"4A ",370,"F",7,"length",75,0,1,0
"237",1965,"4A ",370,"F",9,"length",88,0,1,0
"238",1965,"4A ",370,"F",10,"length",112,0,1,0
"239",1965,"4A ",370,"F",11,"length",118,0,1,0
"240",1965,"4A ",370,"F",14,"length",136,9.89949493661167,2,7
"241",1965,"4A ",380,"F",10,"length",92,0,1,0
"242",1965,"4A ",380,"F",14,"length",122,0,1,0
"243",1965,"4A ",380,"M",7,"length",51,0,1,0
"244",1966,"2B ",121,"F",8,"length",101,4.24264068711928,2,3
